,emoji,count(emoji),avg(Anger),avg(Anticipation),avg(Disgust),avg(Fear),avg(Joy),avg(Sadness),avg(Surprise),avg(Trust)
301,"['😭', '🔥', '🤣']",1,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0
302,"['😂', '✅']",3,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666
303,"['💥', '⚡']",4,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
304,"['🤡', '🤣']",3,0.3333333333333333,1.3333333333333333,0.0,2.3333333333333335,1.3333333333333333,1.0,1.0,1.3333333333333333
305,"['🚨', '📍']",1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0
306,"['😂', '🔥', '🤣']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
307,"['👇', '🤣']",4,0.25,1.0,0.5,1.25,1.0,1.0,0.25,1.5
308,['‼'],315,0.5238095238095238,1.4222222222222223,0.526984126984127,1.1587301587301588,1.0952380952380953,1.380952380952381,0.4253968253968254,1.488888888888889
309,"['🥺', '🥰']",3,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.6666666666666667
310,"['😭', '🥰']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,"['❤', '💔', '🔥']",1,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
312,"['➡', '⚡', '💥']",2,2.0,4.0,0.0,0.0,1.0,1.0,1.0,3.0
313,"['😂', '😭', '👀']",1,0.0,3.0,0.0,1.0,3.0,3.0,1.0,5.0
314,"['🔥', '⚠']",2,1.0,3.0,1.0,1.0,1.0,0.0,1.0,7.0
315,"['🙏', '🤣']",4,0.5,0.5,0.25,1.0,0.5,0.75,0.5,1.25
316,"['🤔', '👀']",4,0.75,0.75,2.25,1.5,0.75,1.5,0.75,1.0
317,"['😂', '❤', '🤔']",2,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
318,"['💔', '😭', '🥺']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,"['😂', '🙏']",22,0.45454545454545453,0.7272727272727273,0.5454545454545454,0.9090909090909091,0.7272727272727273,0.6818181818181818,0.18181818181818182,1.0909090909090908
320,"['😂', '🎉']",19,0.631578947368421,0.7894736842105263,0.7368421052631579,0.8421052631578947,0.5263157894736842,0.5789473684210527,0.3157894736842105,0.631578947368421
321,"['😂', '😭']",396,0.33080808080808083,0.6262626262626263,0.3939393939393939,0.7272727272727273,0.44696969696969696,0.8131313131313131,0.29545454545454547,0.6035353535353535
322,"['❤', '🙏', '💔']",1,1.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0
323,"['📍', '⚡']",1,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0
324,"['🤔', '🔴']",1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
325,"['😂', '📍']",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,"['😭', '💔', '🤣']",1,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0
327,"['🙏', '✨', '✅']",1,0.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0
328,"['‼', '👇']",3,1.3333333333333333,0.0,1.6666666666666667,2.0,0.3333333333333333,1.6666666666666667,0.0,0.0
329,"['😂', '😭', '😎']",1,2.0,1.0,2.0,4.0,1.0,4.0,1.0,3.0
330,"['😂', '😭', '❤']",5,0.0,0.6,0.0,0.8,0.6,0.6,0.4,0.6
331,"['❤', '✨', '🥺']",3,0.0,2.3333333333333335,0.0,0.6666666666666666,2.6666666666666665,0.0,0.0,3.3333333333333335
332,"['❌', '🚨']",33,0.30303030303030304,0.2727272727272727,0.24242424242424243,0.3939393939393939,0.09090909090909091,0.36363636363636365,0.2727272727272727,1.2424242424242424
333,"['❤', '🔥', '😭']",1,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
334,"['👇', '✨']",9,0.2222222222222222,0.8888888888888888,0.0,1.2222222222222223,0.8888888888888888,1.2222222222222223,0.3333333333333333,1.7777777777777777
335,"['🔥', '✨']",2,0.5,1.5,0.0,0.0,1.5,0.0,0.0,1.5
336,"['😂', '💥']",5,0.4,0.8,0.6,1.0,0.6,0.6,0.2,0.8
337,"['👉', '✨', '👀']",1,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
338,"['😂', '❤', '👀']",4,0.0,0.5,0.0,0.25,0.5,0.25,0.25,1.0
339,"['🚨', '✅']",19,0.7894736842105263,0.21052631578947367,0.8421052631578947,2.263157894736842,0.05263157894736842,2.1578947368421053,0.05263157894736842,0.9473684210526315
340,"['❌', '📌']",7,1.0,0.2857142857142857,1.8571428571428572,0.7142857142857143,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.5714285714285714
341,"['❤', '✅', '🥺']",2,0.5,2.0,0.0,1.0,1.0,0.5,0.5,2.0
342,"['😂', '👇', '🔴']",4,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0
343,"['😩', '💔', '😂']",1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
344,"['❌', '🔥']",1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
345,"['❤', '❗']",1,0.0,4.0,0.0,1.0,4.0,1.0,2.0,2.0
346,"['⚽', '👀']",1,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0
347,"['😂', '😭', '💔', '🤣']",2,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
348,"['🔴', '📌']",5,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
349,"['😂', '😭', '💔']",19,0.3157894736842105,0.5789473684210527,0.3684210526315789,0.5263157894736842,0.3684210526315789,0.6842105263157895,0.05263157894736842,0.2631578947368421
350,"['🔴', '✅']",6,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666
351,"['🔴', '⚠', '📍']",1,1.0,2.0,3.0,3.0,2.0,2.0,0.0,6.0
352,"['🙏', '👉', '👀']",1,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0
353,['⚡'],75,0.21333333333333335,0.28,0.22666666666666666,0.56,0.68,0.4666666666666667,0.16,0.8933333333333333
354,"['❌', '🔴', '📌']",2,0.5,1.0,0.5,3.5,1.5,4.5,1.0,1.5
355,"['❤', '😭', '🤣']",1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
356,"['🚨', '⚠']",191,0.17801047120418848,0.3507853403141361,0.4083769633507853,0.9476439790575916,0.4083769633507853,0.8848167539267016,0.14659685863874344,0.8167539267015707
357,"['💔', '🤡']",3,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
358,"['🥺', '🤡']",1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
359,"['❌', '🔥', '❗']",1,2.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0
360,"['✨', '👀']",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
361,"['😂', '🤔']",33,0.42424242424242425,0.7272727272727273,0.48484848484848486,1.3333333333333333,0.45454545454545453,0.9393939393939394,0.18181818181818182,1.0606060606060606
362,['✨'],947,0.3167898627243928,0.6494192185850053,0.3780359028511088,0.9408658922914467,0.5512143611404435,0.6261879619852164,0.16684266103484688,0.9292502639915523
363,"['❤', '🎉', '🥰']",1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
364,"['😂', '❤', '🥺']",5,0.4,0.8,0.6,0.4,1.2,0.2,0.8,1.2
365,"['😂', '👀']",12,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.5,0.25,0.5,0.16666666666666666,0.16666666666666666
366,"['❤', '✨']",38,0.3684210526315789,0.8421052631578947,0.34210526315789475,0.8421052631578947,0.868421052631579,0.631578947368421,0.23684210526315788,0.8421052631578947
367,"['😂', '😎']",32,0.59375,0.71875,0.40625,0.84375,0.78125,0.375,0.40625,0.84375
368,"['❤', '✨', '🥰']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,"['🚨', '🥺']",1,2.0,1.0,2.0,4.0,2.0,3.0,2.0,2.0
370,"['⚽', '👇', '❗']",2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
371,['😩'],230,0.22608695652173913,0.2956521739130435,0.6173913043478261,0.8739130434782608,0.23478260869565218,0.7869565217391304,0.15217391304347827,0.40869565217391307
372,"['❤', '🥺']",561,0.0855614973262032,0.22459893048128343,0.062388591800356503,0.2531194295900178,0.2887700534759358,0.15508021390374332,0.0766488413547237,0.24420677361853832
373,"['‼', '👇', '✅', '💥']",1,1.0,2.0,0.0,3.0,1.0,2.0,1.0,2.0
374,"['👇', '💥']",2,1.5,1.5,1.0,1.5,0.5,2.0,0.0,1.5
375,"['😭', '🙏', '🥺']",1,0.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0
376,"['🚨', '👉']",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,"['😭', '👇', '📍']",2,1.0,3.0,0.0,3.0,2.0,2.0,0.0,2.0
378,"['📍', '✨', '⚡']",4,1.5,0.25,0.0,0.75,1.0,2.25,0.25,1.75
379,"['❤', '💥']",4,0.5,0.75,1.0,1.0,1.0,0.0,0.25,1.75
380,"['‼', '📌']",4,1.0,1.25,0.5,2.25,2.0,1.75,0.5,2.75
381,"['😩', '✨']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
382,"['✅', '🥺']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
383,"['😭', '✅']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,"['⭐', '👇']",2,0.5,1.5,0.5,0.5,1.0,0.5,0.5,1.0
385,"['😭', '🤡']",3,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.3333333333333335,1.3333333333333333,2.0,0.3333333333333333,2.0
386,['🔥'],2028,0.6341222879684418,0.7707100591715976,0.5542406311637081,0.7924063116370809,0.4630177514792899,0.7194280078895463,0.40088757396449703,0.8939842209072978
387,"['❤', '💔']",35,0.4857142857142857,0.8571428571428571,0.34285714285714286,1.3714285714285714,0.9714285714285714,0.6857142857142857,0.34285714285714286,1.3142857142857143
388,"['🙏', '🥰']",2,0.0,0.5,0.5,2.0,0.5,1.0,0.0,1.5
389,"['👇', '👉', '🥺']",1,1.0,2.0,1.0,2.0,2.0,5.0,2.0,2.0
390,"['🙏', '✨', '🤣']",1,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
391,"['❤', '🤣']",23,0.21739130434782608,0.8260869565217391,0.08695652173913043,0.6521739130434783,0.782608695652174,0.21739130434782608,0.30434782608695654,0.9130434782608695
392,"['😂', '❤', '⚽']",1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
393,"['👇', '🔴']",330,2.8181818181818183,1.5636363636363637,0.9181818181818182,3.315151515151515,1.9212121212121211,2.4727272727272727,1.0121212121212122,1.9303030303030304
394,"['🔴', '💥']",27,1.6296296296296295,0.0,0.8148148148148148,3.3333333333333335,0.8148148148148148,2.5185185185185186,0.8148148148148148,1.6666666666666667
395,"['🎉', '🔥']",3,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
396,"['‼', '🔥', '🚨']",1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
397,"['😂', '😎', '🔥', '⚡']",2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
398,"['😂', '🔥', '👇']",1,3.0,1.0,5.0,7.0,1.0,6.0,0.0,2.0
399,['🤔'],672,0.7693452380952381,0.6889880952380952,0.6026785714285714,1.4836309523809523,0.6413690476190477,1.2633928571428572,0.5133928571428571,1.0044642857142858
400,"['🤔', '📍']",1,0.0,3.0,0.0,1.0,3.0,2.0,0.0,2.0
401,"['❤', '💔', '🤣']",1,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0
402,"['✨', '📍']",12,0.25,1.5,0.3333333333333333,1.0833333333333333,1.3333333333333333,0.6666666666666666,0.25,1.4166666666666667
403,"['⭐', '📍']",1,0.0,2.0,0.0,1.0,2.0,2.0,0.0,3.0
404,"['😭', '🔥', '✨']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,"['😭', '🤔']",3,0.3333333333333333,0.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.0,0.6666666666666666
406,"['🙏', '🥺']",12,0.08333333333333333,1.0,0.25,0.9166666666666666,1.25,0.6666666666666666,0.5833333333333334,1.6666666666666667
407,"['😂', '😭', '🥺']",1,1.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0
408,"['‼', '❗']",4,2.5,3.0,1.5,4.25,2.0,4.5,0.5,2.75
409,"['‼', '🙄']",1,3.0,1.0,3.0,4.0,0.0,2.0,0.0,2.0
410,"['🔥', '🔴']",24,0.16666666666666666,0.8333333333333334,0.125,1.0,0.7916666666666666,1.2083333333333333,0.7083333333333334,0.8333333333333334
411,"['💔', '🔥']",4,1.0,1.25,1.0,1.5,1.0,1.25,0.0,1.25
412,"['❤', '💔', '😭']",6,0.16666666666666666,1.1666666666666667,0.0,2.0,2.1666666666666665,0.16666666666666666,0.16666666666666666,1.3333333333333333
413,"['😂', '❤', '🙏']",2,0.0,0.5,0.5,0.0,0.5,0.0,0.0,3.0
414,"['❤', '💔', '⚽']",1,2.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0
415,"['🥰', '🥺']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,"['⭐', '🔥']",4,0.0,1.5,1.0,1.5,2.5,2.0,1.0,1.5
417,"['😂', '❤', '🥰']",2,0.0,1.0,0.5,1.0,1.5,1.0,0.5,2.5
418,"['😭', '✨']",3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,2.3333333333333335
419,"['😂', '❤']",281,0.19572953736654805,0.5444839857651246,0.3309608540925267,0.6334519572953736,0.5622775800711743,0.35231316725978645,0.2846975088967972,0.7295373665480427
420,"['⭐', '✨', '💥', '🙏', '🔥']",1,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
421,['🇧🇷'],8,0.0,0.875,1.875,0.0,0.875,0.0,0.875,1.0
422,"['💔', '🚨', '❌']",1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0
423,['❗'],484,0.762396694214876,1.487603305785124,0.5392561983471075,1.2685950413223142,1.6301652892561984,0.9855371900826446,0.33884297520661155,1.5991735537190082
424,"['🔥', '🎉']",1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
425,"['😂', '😭', '🤡']",1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
426,"['✅', '💥']",96,0.0,0.020833333333333332,0.010416666666666666,0.052083333333333336,0.03125,0.052083333333333336,0.010416666666666666,0.03125
427,"['🇧🇷', '⚽']",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
428,"['❌', '🚨', '⚠']",7,1.0,0.0,0.0,2.7142857142857144,0.0,3.0,0.0,1.4285714285714286
429,"['⭐', '❤', '🙏']",1,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0
430,"['🙏', '🎉', '🥺']",1,1.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0
431,"['❤', '🙏', '🤣']",1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
432,"['❤', '🔥', '👇', '✨']",1,3.0,1.0,3.0,4.0,3.0,5.0,1.0,1.0
433,"['🤔', '🥺']",1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
434,"['🙏', '👇', '👉']",3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
435,"['✨', '🥺']",14,0.35714285714285715,1.4285714285714286,0.5,0.8571428571428571,1.8571428571428572,0.42857142857142855,0.5,2.4285714285714284
436,"['😂', '😭', '😩']",1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
437,"['🎉', '👇']",1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
438,"['🎉', '👇', '💥']",1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
439,"['😂', '🔥', '🤔']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,"['🚨', '👀']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,"['✅', '📍']",5,1.2,1.6,1.0,2.0,2.0,2.0,1.0,2.8
442,"['❤', '🔥']",110,0.10909090909090909,0.6272727272727273,0.08181818181818182,0.7,0.9545454545454546,0.1,0.16363636363636364,0.7454545454545455
443,"['📌', '📍']",1,1.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0
444,"['😂', '➡']",1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
445,"['😂', '🤡']",5,0.2,1.0,0.0,0.6,0.4,1.0,0.2,0.6
446,['👇'],1805,0.8764542936288089,1.2786703601108034,0.7301939058171745,1.915235457063712,1.245983379501385,1.5695290858725761,0.5119113573407202,1.6631578947368422
447,"['🙏', '🎉']",15,0.0,1.4,0.3333333333333333,0.06666666666666667,1.9333333333333333,0.0,0.06666666666666667,2.0
448,"['😩', '❤']",26,0.038461538461538464,0.11538461538461539,0.7692307692307693,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.0,0.07692307692307693
449,"['😂', '😎', '🤣']",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,"['🙏', '🙄']",2,0.0,1.5,1.0,3.0,1.5,2.0,2.0,3.0
451,['❤'],4362,0.2150389729481889,0.6033929390187988,0.259743237047226,0.6022466758367722,0.6485557083906465,0.4594222833562586,0.26639156350298027,0.8035304906006419
452,['🥰'],215,0.2372093023255814,0.5069767441860465,0.2372093023255814,0.4325581395348837,0.49767441860465117,0.32558139534883723,0.19534883720930232,0.627906976744186
453,"['🙏', '🔴']",4,1.75,0.0,1.0,1.0,0.0,1.75,0.0,0.25
